timestamp,close
2021-04-01,58917.91
2021-04-02,59030.52
2021-04-03,58841.05
2021-04-04,58787.57
2021-04-05,59369.96
2021-04-06,58927.65
2021-04-07,55833.99
2021-04-08,58137.28
2021-04-09,58171.01
2021-04-10,59822.91
2021-04-11,60237.89
2021-04-12,59821.03
2021-04-13,63554.59
2021-04-14,63276.90
2021-04-15,62927.50
2021-04-16,61458.16
2021-04-17,60098.89
2021-04-18,56178.84
2021-04-19,55707.74
2021-04-20,56361.01
2021-04-21,56577.08
2021-04-22,53925.75
2021-04-23,51708.35
2021-04-24,50358.61
2021-04-25,49127.75
2021-04-26,53821.55
2021-04-27,54810.06
2021-04-28,55005.89
2021-04-29,53597.05
2021-04-30,57716.44
2021-05-01,57776.31
2021-05-02,56632.09
2021-05-03,57194.96
2021-05-04,53315.48
2021-05-05,57362.78
2021-05-06,56632.09
2021-05-07,57361.74
2021-05-08,58805.39
2021-05-09,58249.78
2021-05-10,55838.35
2021-05-11,56713.37
2021-05-12,49764.07
2021-05-13,49374.32
2021-05-14,49882.52
2021-05-15,50030.93
2021-05-16,46813.20
2021-05-17,43537.45
2021-05-18,42932.24
2021-05-19,36705.31
2021-05-20,40706.63
2021-05-21,37331.36
2021-05-22,37284.98
2021-05-23,34707.73
2021-05-24,38385.46
2021-05-25,38879.70
2021-05-26,39255.85
2021-05-27,38379.94
2021-05-28,35563.80
2021-05-29,34612.48
2021-05-30,35816.78
2021-05-31,37334.25
2021-06-01,36699.42
2021-06-02,37577.53
2021-06-03,39266.99
2021-06-04,37618.43
2021-06-05,36827.36
2021-06-06,35567.39
2021-06-07,33563.83
2021-06-08,33598.18
2021-06-09,37338.48
2021-06-10,36827.36
2021-06-11,37331.36
2021-06-12,35540.10
2021-06-13,35548.37
2021-06-14,39716.16
2021-06-15,40446.01
2021-06-16,38385.46
2021-06-17,38287.79
2021-06-18,35765.42
2021-06-19,35824.74
2021-06-20,35728.94
2021-06-21,31708.24
2021-06-22,32548.84
2021-06-23,33590.04
2021-06-24,34633.10
2021-06-25,31545.29
2021-06-26,32270.30
2021-06-27,34429.94
2021-06-28,34418.71
2021-06-29,35907.86
2021-06-30,34548.84
2021-07-01,33537.35
2021-07-02,33553.14
2021-07-03,35018.57
2021-07-04,35276.54
2021-07-05,33867.93
2021-07-06,34283.71
2021-07-07,33873.50
2021-07-08,32906.82
2021-07-09,33867.93
2021-07-10,33845.30
2021-07-11,34160.36
2021-07-12,33513.60
2021-07-13,32825.42
2021-07-14,32781.79
2021-07-15,31721.97
2021-07-16,31474.68
2021-07-17,31388.02
2021-07-18,31704.85
2021-07-19,30803.87
2021-07-20,29795.55
2021-07-21,32127.33
2021-07-22,32441.18
2021-07-23,33594.79
2021-07-24,34581.08
2021-07-25,33566.99
2021-07-26,37336.98
2021-07-27,39230.82
2021-07-28,39950.07
2021-07-29,40018.30
2021-07-30,42241.16
2021-07-31,41442.99
